Shareholder,Company,Share percentage
Absa Group Limited,Absa Bank Botswana Limited,67.82
FNB Botswana Nominees RE: BIFM – BPOPF ACT MEM & DP EQ,Absa Bank Botswana Limited,9.65
FNB Botswana Nominees RE: MVA Fund,Absa Bank Botswana Limited,2.19
Stanbic Nominees Botswana RE BIFM PLEF,Absa Bank Botswana Limited,1.76
SCBN (Pty) Ltd RE: BPOPF LEA Portfolio CO AG,Absa Bank Botswana Limited,1.73
FNBB Nominees RE: Vunani BPOPF,Absa Bank Botswana Limited,1.67
FNBBN (Pty) Ltd RE: BPOPF Morula ACT MEM DEP EQ,Absa Bank Botswana Limited,1.67
Stanbic Nominees Botswana RE Ninety-One DPF (LOCAL EQ),Absa Bank Botswana Limited,1.04
Stanbic Nominees BW RE 5th Quarter BPOPF Local Equities Incubat,Absa Bank Botswana Limited,1.01
SCBN (Pty) Ltd RE: BIFM 028914400011 UB DC PF,Absa Bank Botswana Limited,0.81
Botswana Life Insurance Limited,Letshego Holdings Limited,27.46
FNB Botswana Nominees RE: BIFM – ACT MEM & DP EQ,Letshego Holdings Limited,14.67
Botswana Public Pension Fund: Vunani,Letshego Holdings Limited,5.12
BPOPF Morula ACT MEM DEP EQ,Letshego Holdings Limited,4.77
BPOPF LETS Strategic Port,Letshego Holdings Limited,3.98
SCBN (Pty) Ltd RE: CITI 024/76,Letshego Holdings Limited,3.67
Stanbic Nominees Botswana RE BPOPF WT PRO PORT MCP,Letshego Holdings Limited,3.09
Botswana Public Officers Pension Fund,Letshego Holdings Limited,2.89
Stanbic Nominees Botswana RE BIFM PLEF,Letshego Holdings Limited,2.42
Business Doctor Investment Limited,Letshego Holdings Limited,2.36
Central Kenya Wholesalers Ltd,Olympia Capital Corporation Limited,1.51
Christopher John Bray,Olympia Capital Corporation Limited,2.65
LHG Malta Holding Ltd,Olympia Capital Corporation Limited,3.55
Kingross Holdings (Pty) Ltd,Olympia Capital Corporation Limited,3.85
FNB Botswana Nominees RE: BIFM,Olympia Capital Corporation Limited,3.92
Michael Maina Wamae Matu,Olympia Capital Corporation Limited,4.63
South Bound Investment Ltd,Olympia Capital Corporation Limited,5.56
Sunnyside International Ltd,Olympia Capital Corporation Limited,5.56
Karen Enterprises Ltd,Olympia Capital Corporation Limited,5.93
